timestamps,TP9,AF7,AF8,TP10
1714655626.780,-46.387,-38.574,-36.621,-52.734
1714655626.784,-44.434,-38.574,-41.016,-52.734
1714655626.788,-31.250,-37.598,-35.156,-44.922
1714655626.792,-30.273,-36.133,-31.250,-43.457
1714655626.796,-35.156,-39.551,-34.668,-47.852
1714655626.800,-44.434,-45.898,-34.668,-49.316
1714655626.804,-42.480,-47.363,-31.738,-43.457
1714655626.807,-32.227,-39.551,-32.227,-34.668
1714655626.811,-31.250,-33.691,-34.180,-32.715
1714655626.815,-35.156,-34.668,-37.598,-41.016
1714655626.819,-51.758,-39.062,-44.922,-52.246
1714655626.823,-53.223,-37.598,-43.457,-55.176
1714655626.825,-42.480,-31.738,-40.527,-46.875
1714655626.829,-40.039,-31.250,-40.039,-44.434
1714655626.833,-47.363,-33.691,-37.109,-53.711
1714655626.837,-53.711,-40.039,-31.738,-62.500
1714655626.841,-43.457,-41.992,-38.086,-60.059
1714655626.845,-39.062,-40.039,-41.016,-46.875
1714655626.849,-40.039,-41.016,-43.457,-43.945
1714655626.852,-41.016,-41.504,-47.363,-43.945
1714655626.856,-38.574,-43.457,-44.922,-45.898
1714655626.860,-34.180,-34.668,-43.945,-47.363
1714655626.864,-30.273,-24.902,-41.504,-44.434
1714655626.868,-21.484,-29.297,-37.109,-38.574
1714655626.870,-23.926,-29.785,-35.645,-37.109
1714655626.874,-30.762,-31.250,-38.574,-45.898
1714655626.878,-40.527,-35.156,-34.668,-44.922
1714655626.882,-32.227,-35.156,-33.203,-38.086
1714655626.886,-20.020,-29.785,-27.832,-32.227
1714655626.890,-21.484,-28.320,-26.367,-29.785
1714655626.894,-26.367,-34.668,-31.250,-29.297
1714655626.897,-28.320,-42.969,-30.273,-41.504
1714655626.901,-26.855,-41.992,-39.062,-45.410
1714655626.905,-26.367,-34.180,-44.434,-36.621
1714655626.909,-18.555,-30.762,-41.016,-41.992
1714655626.913,-22.461,-38.086,-42.480,-41.504
1714655626.915,-27.832,-41.016,-41.992,-37.598
1714655626.919,-25.391,-34.180,-38.574,-34.668
1714655626.923,-30.762,-29.297,-39.551,-29.297
1714655626.927,-30.762,-27.344,-36.621,-32.227
1714655626.931,-34.668,-33.691,-31.738,-36.621
1714655626.935,-39.062,-32.227,-27.832,-36.133
1714655626.939,-40.039,-41.016,-29.297,-44.922
1714655626.942,-46.387,-41.016,-36.621,-55.176
1714655626.946,-50.293,-31.250,-38.086,-51.758
1714655626.950,-43.945,-38.574,-35.645,-46.875
1714655626.954,-31.738,-41.016,-33.691,-36.621
1714655626.958,-31.250,-37.598,-36.621,-38.086
1714655626.975,-32.715,-37.109,-38.086,-41.016
1714655626.979,-27.344,-30.762,-33.691,-32.715
1714655626.983,-29.297,-35.156,-39.062,-34.668
1714655626.987,-41.504,-37.109,-40.039,-42.969
1714655626.991,-40.527,-38.086,-32.715,-40.039
1714655626.995,-36.133,-34.668,-33.203,-39.551
1714655626.999,-38.574,-33.691,-36.133,-45.410
1714655627.002,-36.621,-41.016,-30.762,-43.945
1714655627.006,-35.156,-41.992,-32.227,-40.039
1714655627.010,-37.598,-44.434,-34.668,-38.086
1714655627.014,-38.574,-47.363,-29.785,-40.039
1714655627.018,-42.480,-39.551,-30.762,-41.992
1714655627.005,-49.805,-36.621,-36.133,-42.969
1714655627.009,-51.270,-43.457,-39.062,-50.781
1714655627.013,-49.805,-43.457,-37.598,-51.270
1714655627.017,-38.574,-41.016,-39.062,-47.852
1714655627.021,-29.297,-38.086,-47.363,-44.434
1714655627.025,-20.508,-33.691,-41.504,-29.297
1714655627.029,-16.113,-35.645,-37.598,-23.926
1714655627.032,-27.832,-45.898,-39.551,-36.621
1714655627.036,-35.645,-44.434,-38.086,-41.504
1714655627.040,-29.297,-37.109,-33.203,-36.621
1714655627.044,-40.527,-41.016,-31.250,-42.969
1714655627.048,-50.293,-45.898,-36.133,-46.875
1714655627.051,-40.527,-48.340,-35.645,-41.992
1714655627.055,-44.922,-44.434,-30.762,-38.086
1714655627.059,-49.805,-41.504,-33.203,-37.598
1714655627.063,-33.203,-43.457,-39.551,-41.016
1714655627.067,-41.504,-47.852,-45.410,-37.109
1714655627.071,-44.922,-43.945,-47.363,-33.203
1714655627.075,-36.133,-43.457,-44.434,-30.762
1714655627.078,-38.574,-47.363,-45.410,-29.785
1714655627.082,-29.297,-42.480,-40.039,-31.738
1714655627.086,-36.133,-42.969,-38.574,-34.668
1714655627.090,-39.551,-42.480,-38.574,-36.133
1714655627.094,-32.227,-41.016,-39.062,-30.762
1714655627.095,-31.738,-45.898,-39.062,-28.809
1714655627.099,-30.273,-45.898,-38.574,-37.109
1714655627.103,-32.227,-43.945,-37.598,-34.668
1714655627.107,-36.133,-38.574,-36.133,-31.738
1714655627.111,-42.969,-41.016,-41.016,-36.133
1714655627.115,-33.691,-35.645,-39.551,-36.621
1714655627.119,-27.344,-34.180,-35.156,-37.109
1714655627.122,-29.785,-40.039,-31.738,-34.180
1714655627.126,-26.367,-40.527,-29.297,-31.738
1714655627.130,-30.762,-42.969,-27.344,-31.250
1714655627.134,-30.273,-42.480,-27.344,-33.203
1714655627.138,-25.879,-46.875,-31.738,-30.273
1714655627.156,-35.645,-47.363,-39.551,-36.621
1714655627.160,-46.875,-43.945,-42.480,-49.316
1714655627.164,-40.527,-42.969,-42.480,-46.875
1714655627.168,-22.461,-37.109,-39.062,-41.016
1714655627.172,-22.461,-38.086,-36.621,-41.992
1714655627.176,-38.574,-38.574,-37.598,-39.062
1714655627.180,-43.457,-38.574,-35.645,-35.156
1714655627.183,-40.039,-35.156,-35.645,-41.992
1714655627.187,-28.809,-27.832,-37.109,-47.852
1714655627.191,-26.855,-28.809,-33.691,-46.875
1714655627.195,-44.434,-33.203,-37.109,-46.387
1714655627.199,-49.805,-33.203,-38.574,-48.340
1714655627.200,-43.945,-35.645,-35.156,-49.805
1714655627.204,-35.156,-37.598,-34.668,-42.969
1714655627.208,-34.668,-32.227,-28.320,-43.945
1714655627.212,-38.086,-30.273,-23.438,-41.504
1714655627.216,-39.551,-35.645,-28.809,-40.039
1714655627.220,-40.039,-33.691,-29.297,-45.410
1714655627.224,-33.203,-33.691,-31.738,-42.969
1714655627.227,-33.203,-39.062,-38.574,-37.598
1714655627.231,-40.527,-40.039,-40.039,-37.598
1714655627.235,-38.574,-43.457,-36.621,-34.668
1714655627.239,-33.691,-40.527,-35.645,-26.367
1714655627.243,-24.902,-30.273,-30.762,-24.414
1714655627.245,-18.066,-26.367,-29.785,-29.297
1714655627.249,-28.809,-23.438,-29.785,-31.738
1714655627.253,-39.062,-28.809,-30.273,-36.621
1714655627.257,-37.598,-38.086,-35.156,-41.504
1714655627.261,-35.156,-39.062,-33.203,-45.410
1714655627.265,-27.344,-30.762,-32.715,-45.898
1714655627.269,-27.344,-22.949,-33.691,-38.574
1714655627.272,-39.551,-37.109,-32.227,-37.598
1714655627.276,-38.574,-45.410,-32.715,-41.992
1714655627.280,-34.668,-37.109,-31.738,-40.527
1714655627.284,-41.992,-36.621,-34.180,-44.922
1714655627.288,-45.898,-37.109,-34.668,-47.852
1714655627.291,-43.457,-36.133,-28.809,-43.945
1714655627.295,-45.898,-38.086,-31.738,-46.387
1714655627.299,-36.621,-34.180,-36.621,-42.969
1714655627.303,-21.484,-29.297,-38.574,-35.645
1714655627.307,-29.297,-33.203,-35.156,-37.598
1714655627.311,-39.062,-36.621,-33.203,-40.527
1714655627.315,-43.457,-43.457,-32.715,-38.574
1714655627.318,-39.062,-46.875,-29.297,-41.992
1714655627.322,-36.133,-39.062,-35.645,-45.898
1714655627.326,-49.316,-36.133,-37.598,-41.016
1714655627.330,-49.316,-31.738,-35.156,-35.156
1714655627.334,-36.133,-36.621,-38.086,-41.504
1714655627.336,-39.551,-38.086,-41.016,-48.340
1714655627.340,-34.668,-26.367,-40.039,-43.457
1714655627.344,-29.297,-22.461,-35.645,-39.062
1714655627.348,-37.109,-26.367,-32.715,-44.434
1714655627.352,-35.156,-34.180,-32.715,-48.340
1714655627.356,-35.645,-33.203,-31.738,-45.410
1714655627.360,-42.969,-33.691,-32.715,-48.828
1714655627.363,-39.062,-29.785,-40.039,-49.805
1714655627.367,-31.738,-32.227,-46.875,-47.852
1714655627.371,-27.344,-38.574,-45.410,-43.457
1714655627.375,-22.949,-29.785,-44.434,-42.969
1714655627.379,-20.996,-12.207,-40.527,-44.922
1714655627.381,-8.301,-23.926,-33.203,-43.457
1714655627.385,-10.254,-27.344,-31.250,-38.574
1714655627.389,-21.973,-25.391,-32.227,-30.762
1714655627.393,-28.320,-28.809,-33.691,-37.109
1714655627.397,-29.297,-26.855,-38.086,-41.504
1714655627.401,-23.438,-25.879,-36.133,-30.762
1714655627.405,-28.809,-34.180,-35.645,-30.273
1714655627.408,-38.086,-39.062,-38.574,-36.133
1714655627.412,-28.809,-39.551,-39.062,-36.621
1714655627.416,-28.809,-36.133,-36.133,-37.598
1714655627.420,-40.527,-26.855,-32.715,-39.062
1714655627.424,-37.109,-34.668,-32.227,-46.387
1714655627.426,-37.109,-41.504,-36.133,-55.176
1714655627.430,-41.504,-27.344,-39.062,-54.199
1714655627.434,-37.109,-21.484,-39.551,-53.223
1714655627.438,-33.691,-25.879,-40.527,-48.340
1714655627.442,-41.504,-23.926,-37.598,-45.410
1714655627.446,-42.969,-23.438,-32.227,-44.434
1714655627.450,-39.062,-28.320,-29.785,-37.109
1714655627.453,-36.133,-35.645,-29.785,-30.762
1714655627.457,-32.227,-37.598,-32.227,-33.203
1714655627.461,-34.668,-42.969,-31.738,-34.668
1714655627.465,-34.180,-45.898,-30.273,-36.621
1714655627.469,-24.902,-41.504,-31.738,-30.762
1714655627.470,-17.578,-39.062,-35.156,-20.020
1714655627.474,-19.043,-27.832,-36.621,-27.832
1714655627.478,-33.691,-23.438,-36.133,-47.363
1714655627.482,-41.504,-34.180,-34.180,-45.410
1714655627.486,-41.016,-40.527,-38.086,-42.480
1714655627.490,-37.598,-34.668,-37.598,-51.270
1714655627.494,-33.691,-32.227,-35.645,-48.828
1714655627.497,-28.320,-27.832,-38.574,-38.574
1714655627.501,-31.738,-21.973,-38.086,-33.691
1714655627.505,-31.738,-20.508,-40.527,-34.180
1714655627.509,-29.297,-20.508,-40.039,-36.133
1714655627.513,-26.367,-19.531,-36.133,-34.180
1714655627.530,-28.320,-20.508,-38.574,-34.668
1714655627.534,-29.297,-17.090,-38.574,-33.203
1714655627.538,-32.715,-24.414,-37.598,-41.016
1714655627.542,-41.992,-33.203,-39.551,-47.852
1714655627.546,-35.645,-30.273,-40.039,-48.828
1714655627.550,-25.391,-15.137,-37.109,-42.969
1714655627.554,-21.973,-16.602,-38.574,-37.109
1714655627.557,-28.320,-31.250,-42.480,-38.574
1714655627.561,-29.785,-30.762,-41.992,-35.645
1714655627.565,-28.809,-28.320,-40.527,-38.086
1714655627.569,-33.203,-29.785,-37.109,-42.969
1714655627.573,-29.785,-30.762,-33.203,-34.668
1714655627.590,-24.902,-31.250,-27.832,-30.762
1714655627.594,-28.809,-30.273,-29.785,-38.086
1714655627.598,-27.832,-30.273,-34.668,-42.969
1714655627.602,-24.902,-31.250,-36.133,-40.039
1714655627.606,-23.926,-35.156,-34.180,-42.480
1714655627.610,-31.250,-32.227,-35.156,-47.852
1714655627.614,-36.621,-38.574,-35.645,-45.898
1714655627.617,-38.574,-38.086,-32.227,-38.086
1714655627.621,-31.250,-35.156,-29.785,-36.621
1714655627.625,-31.738,-41.016,-24.902,-38.086
1714655627.629,-30.762,-42.969,-20.996,-35.156
1714655627.633,-29.297,-39.062,-20.996,-34.668
1714655627.620,-33.203,-30.273,-24.902,-39.551
1714655627.624,-27.832,-18.555,-28.809,-45.898
1714655627.628,-32.715,-24.414,-28.320,-44.922
1714655627.632,-35.156,-33.691,-26.367,-45.898
1714655627.636,-38.574,-36.621,-28.809,-50.781
1714655627.640,-41.992,-34.668,-28.320,-52.246
1714655627.644,-30.273,-31.738,-27.344,-43.457
1714655627.647,-30.762,-31.250,-33.203,-44.434
1714655627.651,-34.668,-30.762,-34.180,-45.898
1714655627.655,-21.973,-27.832,-32.227,-36.133
1714655627.659,-24.902,-25.391,-34.668,-30.762
1714655627.663,-30.273,-23.438,-37.109,-28.320
1714655627.665,-28.320,-20.996,-39.062,-28.320
1714655627.669,-31.738,-25.879,-39.551,-27.832
1714655627.673,-38.086,-36.621,-37.109,-37.109
1714655627.677,-39.551,-43.457,-39.551,-51.270
1714655627.681,-35.156,-40.039,-33.691,-40.039
1714655627.685,-37.109,-33.203,-25.391,-29.297
1714655627.689,-29.785,-33.691,-26.367,-30.273
1714655627.692,-21.484,-32.715,-29.297,-22.949
1714655627.696,-29.297,-33.203,-28.320,-23.926
1714655627.700,-30.762,-38.574,-31.738,-37.598
1714655627.704,-29.785,-37.109,-37.598,-36.621
1714655627.708,-36.621,-41.992,-37.598,-36.133
1714655627.710,-45.410,-53.711,-38.574,-44.434
1714655627.714,-41.016,-47.852,-37.109,-37.109
1714655627.718,-32.715,-39.551,-31.250,-21.484
1714655627.722,-37.109,-40.039,-28.809,-27.344
1714655627.726,-44.434,-33.203,-27.832,-33.691
1714655627.730,-39.551,-30.273,-24.902,-28.809
1714655627.734,-32.715,-43.945,-28.809,-26.855
1714655627.737,-34.180,-47.852,-32.715,-26.855
1714655627.741,-34.668,-41.016,-33.691,-25.391
1714655627.745,-36.621,-37.109,-31.250,-28.809
1714655627.749,-35.645,-43.945,-28.809,-25.879
1714655627.753,-31.250,-53.711,-30.273,-21.484
1714655627.756,-34.180,-44.922,-29.297,-21.973
1714655627.760,-31.738,-34.668,-27.344,-23.926
1714655627.764,-31.738,-29.785,-32.715,-28.320
1714655627.768,-37.598,-26.367,-38.574,-34.180
1714655627.772,-35.645,-29.297,-34.668,-42.480
1714655627.776,-34.668,-31.250,-36.133,-40.039
1714655627.780,-29.297,-33.691,-37.598,-32.227
1714655627.783,-29.297,-37.598,-35.156,-26.855
1714655627.787,-34.668,-42.480,-35.156,-20.508
1714655627.791,-33.691,-42.969,-32.227,-22.949
1714655627.795,-39.551,-40.039,-31.250,-26.855
1714655627.799,-43.457,-36.133,-32.227,-34.668
1714655627.801,-44.922,-34.668,-31.738,-39.062
1714655627.805,-49.316,-31.738,-33.203,-42.480
1714655627.809,-44.434,-32.227,-38.574,-46.875
1714655627.813,-40.527,-29.297,-35.156,-46.387
1714655627.817,-40.527,-25.391,-29.297,-47.852
1714655627.821,-36.133,-22.461,-30.273,-45.898
1714655627.825,-42.969,-29.785,-31.738,-45.410
1714655627.828,-44.922,-41.992,-37.109,-43.945
1714655627.832,-34.180,-44.434,-35.156,-40.527
1714655627.836,-36.621,-40.527,-28.320,-39.062
1714655627.840,-36.133,-30.762,-30.273,-32.227
1714655627.844,-32.715,-27.832,-34.668,-35.156
1714655627.844,-38.574,-33.203,-34.668,-47.363
1714655627.848,-44.922,-34.668,-39.551,-52.246
1714655627.852,-44.922,-36.621,-39.062,-49.316
1714655627.856,-39.062,-39.551,-34.180,-38.574
1714655627.860,-33.691,-42.480,-35.645,-35.645
1714655627.864,-37.109,-43.945,-39.551,-37.109
1714655627.868,-33.691,-45.898,-36.133,-26.855
1714655627.871,-35.156,-44.434,-34.180,-29.785
1714655627.875,-37.598,-38.086,-27.344,-33.203
1714655627.879,-33.691,-32.715,-24.902,-28.809
1714655627.883,-39.551,-27.344,-31.250,-35.156
1714655627.887,-47.852,-33.203,-30.273,-50.293
1714655627.905,-54.199,-38.574,-30.762,-52.246
1714655627.909,-45.410,-32.715,-29.785,-42.480
1714655627.913,-33.203,-30.762,-26.855,-39.551
1714655627.917,-40.039,-34.180,-28.809,-43.945
1714655627.921,-45.410,-36.621,-26.855,-46.387
1714655627.925,-42.969,-34.668,-24.902,-38.574
1714655627.929,-39.551,-35.645,-26.855,-40.527
1714655627.932,-33.203,-36.621,-29.297,-41.504
1714655627.936,-47.363,-40.039,-35.156,-42.969
1714655627.940,-52.734,-40.039,-35.645,-43.457
1714655627.944,-34.668,-26.855,-28.320,-36.621
1714655627.948,-19.531,-24.414,-25.391,-35.156
1714655627.950,-18.555,-24.902,-28.320,-36.133
1714655627.954,-28.809,-29.785,-33.691,-43.945
1714655627.958,-33.691,-32.227,-34.668,-48.828
1714655627.962,-23.926,-26.367,-28.320,-40.039
1714655627.966,-26.855,-30.273,-29.785,-36.133
1714655627.970,-37.109,-28.809,-34.180,-35.645
1714655627.974,-40.527,-31.738,-33.203,-37.109
1714655627.977,-43.457,-38.574,-28.320,-44.434
1714655627.981,-44.434,-42.480,-29.297,-42.969
1714655627.985,-36.621,-39.062,-31.738,-37.109
1714655627.989,-37.109,-32.715,-24.902,-29.785
1714655627.993,-37.109,-28.320,-26.855,-32.227
1714655627.995,-44.922,-31.738,-30.762,-43.945
1714655627.999,-48.340,-33.691,-27.832,-40.527
1714655628.003,-42.969,-33.691,-31.250,-34.668
1714655628.007,-49.316,-41.504,-30.273,-34.180
1714655628.011,-49.805,-47.852,-27.832,-35.156
1714655628.015,-43.457,-43.457,-27.832,-35.156
1714655628.019,-52.734,-48.340,-27.832,-36.133
1714655628.022,-50.293,-48.340,-28.320,-43.457
1714655628.026,-41.504,-36.621,-30.273,-44.434
1714655628.030,-42.969,-35.645,-35.156,-46.875
1714655628.034,-43.457,-41.504,-36.133,-48.340
1714655628.038,-41.016,-43.457,-35.645,-44.434
1714655628.041,-34.668,-41.992,-34.668,-44.434
1714655628.045,-32.715,-37.598,-32.227,-39.062
1714655628.049,-38.574,-32.227,-30.273,-35.156
1714655628.053,-41.016,-33.203,-26.855,-42.480
1714655628.057,-35.156,-35.645,-28.320,-40.039
1714655628.061,-30.273,-27.344,-32.227,-37.598
1714655628.065,-30.762,-22.949,-32.227,-36.133
1714655628.068,-25.391,-26.367,-29.785,-30.273
1714655628.072,-27.832,-30.762,-33.691,-28.809
1714655628.076,-24.902,-28.320,-33.203,-24.902
1714655628.080,-11.719,-21.484,-27.344,-16.113
1714655628.084,-17.090,-22.461,-23.926,-13.672
1714655628.085,-31.250,-30.762,-28.320,-20.508
1714655628.089,-29.785,-28.809,-26.855,-18.066
1714655628.093,-35.156,-36.133,-32.715,-21.484
1714655628.097,-41.992,-45.410,-42.969,-38.086
1714655628.101,-42.480,-39.551,-41.016,-43.457
1714655628.105,-43.457,-37.109,-36.621,-40.039
1714655628.109,-43.457,-41.992,-40.527,-41.504
1714655628.112,-37.598,-42.969,-41.016,-41.504
1714655628.116,-31.738,-42.969,-34.668,-43.945
1714655628.120,-32.227,-33.203,-31.250,-42.480
1714655628.124,-39.551,-30.273,-34.180,-46.387
1714655628.128,-48.340,-39.551,-33.203,-53.711
1714655628.130,-49.316,-43.457,-33.203,-57.617
1714655628.134,-54.688,-47.852,-38.574,-57.129
1714655628.138,-57.617,-49.805,-36.621,-60.547
1714655628.142,-62.988,-44.922,-30.273,-65.430
1714655628.146,-72.754,-51.758,-31.250,-63.477
1714655628.150,-55.176,-45.898,-36.621,-51.758
1714655628.154,-33.203,-39.062,-37.598,-39.062
1714655628.157,-40.527,-48.340,-34.180,-38.086
1714655628.161,-53.711,-47.852,-31.250,-46.875
1714655628.165,-51.270,-41.992,-33.203,-51.758
1714655628.169,-46.387,-42.969,-29.785,-45.410
1714655628.173,-48.340,-46.875,-32.715,-44.922
1714655628.176,-45.410,-42.480,-39.062,-44.434
1714655628.180,-41.992,-34.668,-32.715,-46.875
1714655628.184,-47.363,-35.645,-35.156,-55.664
1714655628.188,-42.969,-39.551,-36.621,-53.223
1714655628.192,-47.363,-39.551,-34.180,-53.223
1714655628.196,-44.922,-31.250,-36.133,-49.805
1714655628.200,-41.016,-34.668,-33.691,-42.969
1714655628.203,-44.922,-44.922,-33.691,-41.016
1714655628.207,-44.922,-41.016,-32.715,-39.062
1714655628.211,-59.082,-40.527,-36.133,-47.852
1714655628.215,-54.199,-34.180,-41.992,-55.176
1714655628.219,-36.621,-26.855,-44.434,-51.270
1714655628.221,-42.969,-28.809,-45.410,-47.363
1714655628.225,-39.551,-30.273,-40.527,-46.875
1714655628.229,-25.391,-25.391,-37.598,-40.039
1714655628.233,-24.414,-26.367,-34.668,-36.621
1714655628.237,-21.484,-27.832,-28.320,-31.250
1714655628.241,-29.297,-24.902,-27.344,-25.391
1714655628.245,-32.715,-32.227,-35.156,-28.320
1714655628.248,-27.344,-34.668,-39.062,-32.227
1714655628.252,-32.227,-28.320,-37.109,-40.527
1714655628.256,-31.738,-22.461,-38.086,-42.969
