timestamps,TP9,AF7,AF8,TP10
1714719698.173,-933.105,-45.410,-43.457,-107.910
1714719698.177,-1000.000,-45.898,-36.133,-48.340
1714719698.181,-318.359,-31.250,-31.250,124.023
1714719698.185,-1000.000,-26.367,-34.180,225.586
1714719698.189,968.750,-43.945,-36.621,111.816
1714719698.193,933.105,-39.551,-27.832,13.184
1714719698.197,979.980,-38.086,-26.367,54.199
1714719698.200,960.938,-53.223,-32.715,144.531
1714719698.204,921.875,-46.875,-30.762,161.133
1714719698.208,-929.199,-40.039,-35.156,77.148
1714719698.212,68.848,-40.527,-41.016,-86.914
1714719698.216,-1000.000,-38.086,-37.109,-143.066
1714719698.219,-1000.000,-48.340,-31.738,-110.840
1714719698.223,-261.719,-43.457,-34.180,80.078
1714719698.227,-977.051,-37.598,-34.668,230.957
1714719698.230,959.473,-42.969,-34.180,129.395
1714719698.234,937.500,-39.062,-32.227,-28.320
1714719698.238,976.562,-37.598,-33.691,-35.645
1714719698.242,970.703,-34.180,-30.273,71.289
1714719698.246,904.297,-26.855,-30.762,145.996
1714719698.249,-894.043,-27.832,-43.457,114.258
1714719698.253,221.191,-39.551,-46.387,-92.285
1714719698.257,-1000.000,-41.504,-39.062,-220.703
1714719698.261,-990.234,-34.668,-32.715,-54.199
1714719698.265,-970.703,-33.203,-32.227,67.383
1714719698.269,-1000.000,-32.715,-30.762,22.461
1714719698.273,-974.609,-47.363,-30.273,-102.051
1714719698.276,-989.746,-54.199,-37.598,-160.156
1714719698.280,-1000.000,-40.527,-30.273,-46.875
1714719698.284,171.387,-28.809,-19.531,162.109
1714719698.288,-919.434,-30.273,-20.508,205.078
1714719698.292,917.480,-31.250,-25.879,16.113
1714719698.294,965.332,-24.902,-32.715,-86.426
1714719698.298,964.844,-30.273,-35.645,-13.184
1714719698.302,916.504,-34.668,-39.062,66.406
1714719698.306,-916.504,-31.738,-43.457,64.453
1714719698.310,106.445,-37.598,-35.156,-95.703
1714719698.314,-1000.000,-44.434,-29.785,-232.422
1714719698.318,-977.051,-41.016,-42.969,-119.629
1714719698.321,-978.027,-36.133,-44.434,28.320
1714719698.325,-1000.000,-34.668,-32.715,50.781
1714719698.329,-1000.000,-36.133,-33.691,-57.129
1714719698.333,-937.012,-41.992,-41.992,-164.062
1714719698.337,-1000.000,-38.574,-37.598,-117.188
1714719698.354,-241.211,-26.367,-28.320,91.309
1714719698.358,-969.727,-22.461,-23.926,206.055
1714719698.362,956.055,-35.156,-22.949,82.031
1714719698.366,939.453,-37.598,-35.156,-63.965
1714719698.370,979.492,-30.762,-41.504,-40.039
1714719698.374,902.832,-30.762,-38.086,82.031
1714719698.378,-894.043,-34.668,-37.109,118.652
1714719698.381,252.930,-45.410,-37.598,-20.508
1714719698.385,-1000.000,-52.734,-38.574,-219.727
1714719698.389,-995.605,-48.828,-42.969,-203.125
1714719698.393,-967.773,-32.715,-45.410,-35.645
1714719698.397,-1000.000,-29.785,-43.945,63.477
1714719698.398,-1000.000,-39.062,-41.016,-10.254
1714719698.402,-998.047,-41.992,-41.992,-157.715
1714719698.406,-943.848,-39.062,-43.457,-160.156
1714719698.410,-1000.000,-30.273,-29.785,-17.090
1714719698.414,-172.852,-29.297,-18.066,136.719
1714719698.418,-954.590,-32.227,-23.438,157.227
1714719698.422,950.195,-33.203,-28.320,-5.371
1714719698.425,919.922,-40.039,-35.645,-83.008
1714719698.429,959.961,-47.363,-39.551,0.000
1714719698.433,851.074,-45.410,-30.762,88.379
1714719698.437,-317.871,-46.875,-32.715,-16.113
1714719698.441,-1000.000,-51.270,-38.574,-208.008
1714719698.444,-953.613,-43.457,-27.344,-220.215
1714719698.448,-997.559,-38.574,-20.996,-82.031
1714719698.452,-1000.000,-36.621,-30.762,36.621
