timestamps,TP9,AF7,AF8,TP10
1714655705.086,-38.574,-19.531,-27.832,-50.781
1714655705.090,-38.086,-17.090,-22.461,-41.504
1714655705.094,-35.645,-19.531,-24.902,-33.691
1714655705.097,-37.598,-24.902,-27.344,-37.598
1714655705.101,-32.227,-18.066,-25.879,-39.062
1714655705.105,-31.250,-18.066,-28.320,-33.203
1714655705.109,-32.715,-27.344,-33.691,-29.785
1714655705.113,-31.250,-27.832,-34.180,-31.738
1714655705.117,-34.180,-24.902,-28.320,-29.297
1714655705.121,-31.738,-26.367,-26.855,-23.926
1714655705.124,-31.738,-26.855,-26.855,-25.879
1714655705.128,-39.551,-33.691,-30.762,-34.180
1714655705.132,-41.992,-32.715,-30.762,-38.086
1714655705.136,-41.016,-22.949,-26.855,-36.621
1714655705.140,-42.969,-20.020,-35.156,-40.039
1714655705.141,-36.621,-18.555,-36.133,-44.434
1714655705.145,-34.180,-16.602,-31.738,-46.875
1714655705.149,-33.691,-21.484,-35.156,-49.805
1714655705.153,-30.273,-25.879,-36.133,-44.434
1714655705.157,-30.762,-24.902,-32.715,-43.457
1714655705.161,-35.156,-20.508,-32.715,-46.387
1714655705.165,-42.480,-20.020,-35.645,-46.387
1714655705.168,-44.434,-24.902,-33.203,-46.875
1714655705.172,-45.410,-28.320,-36.133,-45.898
1714655705.176,-45.898,-20.996,-37.109,-46.387
1714655705.180,-47.852,-20.996,-34.668,-46.387
1714655705.184,-47.363,-24.414,-30.762,-37.598
1714655705.186,-42.969,-29.297,-27.344,-34.180
1714655705.190,-49.316,-34.180,-34.668,-41.504
1714655705.194,-52.734,-34.668,-33.691,-37.109
1714655705.198,-50.781,-35.156,-32.715,-37.598
1714655705.202,-53.711,-35.156,-30.762,-40.527
1714655705.206,-54.199,-30.762,-31.250,-44.922
1714655705.210,-50.293,-30.273,-33.203,-45.898
1714655705.213,-48.828,-30.762,-31.250,-45.410
1714655705.217,-45.410,-26.367,-31.738,-43.945
1714655705.221,-43.457,-22.949,-31.738,-41.016
1714655705.225,-43.945,-23.926,-25.879,-38.086
1714655705.229,-44.434,-31.738,-23.926,-43.457
1714655705.231,-43.945,-33.203,-29.297,-43.945
1714655705.235,-37.598,-22.949,-28.320,-36.133
1714655705.239,-31.250,-19.531,-28.320,-40.039
1714655705.243,-31.738,-20.508,-31.738,-42.480
1714655705.247,-41.992,-25.391,-34.668,-43.945
1714655705.251,-39.551,-23.926,-33.203,-47.363
1714655705.255,-35.645,-20.996,-38.086,-46.387
1714655705.258,-42.480,-25.391,-40.039,-41.016
1714655705.262,-40.527,-27.344,-38.574,-41.504
