timestamps,TP9,AF7,AF8,TP10,Right AUX
1714919668.759,-663.086,-759.277,-881.348,-677.734,-32
1714919668.763,-668.945,-736.816,-796.875,-625.0,26
1714919668.767,-690.43,-778.32,-751.953,-588.867,18
1714919668.771,-672.852,-772.461,-702.637,-581.055,-12
1714919668.775,-683.594,-728.027,-598.145,-563.965,20
1714919668.778,-643.066,-591.309,-649.414,-514.648,27
1714919668.782,-558.594,-515.137,-670.898,-456.543,-55
1714919668.786,-541.992,-545.898,-594.238,-430.664,74
1714919668.79,-540.527,-598.145,-589.355,-408.691,-75
1714919668.794,-520.996,-562.988,-458.496,-415.527,8
1714919668.796,-467.773,-444.336,-361.328,-396.973,-8
1714919668.8,-383.301,-354.004,-375.0,-309.082,95
1714919668.804,-348.145,-291.016,-444.336,-229.492,45
1714919668.808,-343.75,-281.738,-453.613,-186.523,-92
1714919668.812,-298.34,-341.797,-290.039,-162.109,35
1714919668.816,-251.953,-285.156,-189.941,-131.348,29
1714919668.82,-206.543,-136.719,-197.266,-122.559,20
1714919668.823,-132.324,-98.633,-252.93,-87.891,-93
1714919668.827,-112.793,-142.09,-241.699,-18.555,60
1714919668.831,-173.828,-165.039,-125.977,-35.645,47
1714919668.835,-150.391,-125.977,-69.824,-34.668,-65
1714919668.839,-39.062,-27.344,-121.094,41.992,-70
1714919668.841,-23.438,2.441,-125.488,46.387,-54
1714919668.845,-12.207,-15.625,-25.391,46.387,-96
1714919668.849,-5.371,-52.246,30.273,37.598,72
1714919668.853,26.367,-33.691,38.574,60.547,-56
1714919668.857,66.406,26.855,-2.441,119.629,73
1714919668.861,81.055,12.695,44.922,155.273,7
1714919668.865,125.0,7.324,45.898,198.242,20
1714919668.868,126.953,16.602,-104.004,229.492,62
1714919668.872,157.715,64.453,41.992,239.746,88
1714919668.876,153.32,140.625,275.879,203.125,-68
1714919668.88,139.16,138.184,239.746,166.992,-55
1714919668.884,186.035,83.496,204.59,197.754,-88
1714919668.901,201.172,63.477,160.645,229.98,38
1714919668.905,193.359,79.59,153.809,260.742,57
1714919668.909,258.301,194.336,187.5,285.645,13
1714919668.913,316.895,241.699,111.816,290.527,-49
1714919668.917,288.574,174.805,127.441,291.016,4
1714919668.921,276.855,137.207,272.461,301.27,-14
1714919668.925,284.18,124.023,313.477,302.246,92
1714919668.928,345.215,182.129,284.18,337.891,-2
1714919668.932,405.762,267.578,292.48,344.727,-95
1714919668.936,395.996,277.344,275.391,309.082,-36
1714919668.94,388.184,254.883,267.09,328.125,35
1714919668.944,376.465,241.211,232.91,394.043,20
1714919668.946,385.254,277.832,162.598,400.879,-73
1714919668.95,420.41,318.848,324.707,358.887,-75
1714919668.954,464.844,326.66,426.27,393.555,59
1714919668.958,435.059,310.547,407.227,410.156,99
1714919668.962,396.484,288.574,412.109,389.648,-65
1714919668.966,491.699,355.957,421.875,404.785,-99
1714919668.97,479.98,402.344,402.832,415.039,-48
1714919668.973,445.801,364.746,371.582,408.203,-2
1714919668.977,458.496,335.938,413.574,386.23,92
1714919668.981,426.27,334.473,348.145,404.785,84
1714919668.985,483.887,407.227,290.039,451.172,-15
1714919668.989,556.152,453.613,365.234,448.242,73
1714919668.992,514.16,414.062,449.707,455.566,-97
1714919668.996,468.75,403.32,517.09,440.43,-31
1714919669.0,490.723,421.387,509.766,426.758,-83
1714919669.004,539.062,466.797,498.047,458.008,-75
1714919669.008,576.172,512.207,489.746,481.934,0
1714919669.012,604.004,467.285,438.965,503.418,-94
1714919669.016,660.156,457.031,432.129,536.133,-79
1714919669.019,628.418,440.918,415.527,552.246,-35
1714919669.023,627.441,486.328,490.723,573.73,30
1714919669.027,704.59,694.336,604.004,600.098,-73
1714919669.031,684.57,718.75,648.438,586.426,98
1714919669.035,643.066,617.188,706.055,572.754,-57
1714919669.036,624.512,599.121,710.938,582.031,-1
1714919669.04,671.387,654.785,696.289,626.953,78
1714919669.044,754.883,754.883,701.66,664.062,64
1714919669.048,800.293,790.039,724.609,703.613,-13
1714919669.052,827.637,787.598,754.395,760.742,13
1714919669.056,860.84,794.434,790.527,797.852,8
1714919669.06,920.898,816.895,772.949,828.125,19
1714919669.063,962.891,904.785,747.559,875.488,27
1714919669.067,968.262,957.52,882.812,920.898,-28
1714919669.071,967.285,936.523,977.539,946.777,12
1714919669.075,968.75,933.594,965.332,962.891,-37
1714919669.079,968.262,955.566,968.262,970.215,-32
1714919669.081,968.262,970.215,969.727,968.75,97
1714919669.085,968.262,968.75,969.238,969.238,72
1714919669.089,968.262,969.238,969.238,969.238,77
1714919669.093,968.262,969.727,969.238,969.238,67
1714919669.097,968.262,969.238,969.238,969.238,-22
1714919669.101,968.262,969.727,969.727,969.238,33
1714919669.105,968.262,966.797,969.727,969.238,30
1714919669.108,968.262,973.145,969.238,969.238,90
1714919669.112,968.262,954.102,969.238,969.238,-51
1714919669.116,968.262,903.809,969.238,969.238,-15
1714919669.12,968.262,916.992,969.238,969.727,-44
1714919669.124,968.262,943.848,969.238,968.262,89
1714919669.127,968.262,881.348,968.75,969.238,-47
1714919669.131,968.262,808.594,965.82,969.238,-28
1714919669.135,968.75,776.367,978.027,920.898,-49
1714919669.139,966.797,813.477,918.945,900.879,25
1714919669.143,968.262,837.402,834.961,895.02,-83
1714919669.147,966.797,790.039,900.879,825.684,58
1714919669.151,907.715,766.602,919.434,790.039,-70
1714919669.154,843.75,683.105,811.035,776.855,-11
1714919669.158,855.957,671.387,805.176,736.328,62
1714919669.162,894.531,748.535,802.246,740.234,29
1714919669.166,873.535,727.051,701.172,740.723,-24
1714919669.17,788.574,680.176,702.148,688.965,-27
1714919669.172,723.633,645.996,705.078,650.391,58
1714919669.176,750.488,618.164,630.371,635.254,-99
1714919669.18,772.461,637.207,629.883,627.93,39
1714919669.184,686.523,617.676,657.227,614.746,-8
1714919669.188,604.004,525.879,623.047,574.707,44
1714919669.192,573.242,463.379,615.723,568.848,3
1714919669.196,561.523,479.492,572.266,596.68,31
1714919669.199,560.547,536.133,491.699,568.848,97
