timestamps,TP9,AF7,AF8,TP10
1714655743.856,-30.273,-25.391,-33.203,-34.668
1714655743.860,-37.109,-27.344,-31.738,-41.992
1714655743.864,-32.227,-27.344,-27.832,-45.410
1714655743.868,-31.738,-32.715,-30.762,-43.457
1714655743.872,-33.203,-35.645,-33.203,-40.527
1714655743.876,-30.762,-29.297,-30.762,-39.551
1714655743.880,-33.203,-30.273,-38.574,-45.410
1714655743.883,-27.832,-37.598,-40.039,-44.922
1714655743.887,-25.879,-33.691,-39.551,-41.992
1714655743.891,-33.691,-28.320,-41.992,-41.504
1714655743.895,-34.668,-31.250,-40.527,-40.039
1714655743.899,-31.250,-32.715,-39.062,-40.039
1714655743.916,-23.926,-31.250,-37.598,-35.156
1714655743.920,-16.602,-26.367,-38.574,-37.598
1714655743.924,-17.090,-23.926,-41.016,-43.457
1714655743.928,-26.367,-23.438,-41.504,-48.828
1714655743.932,-29.297,-24.414,-42.480,-48.828
1714655743.936,-18.555,-24.902,-38.086,-39.551
1714655743.940,-10.742,-21.484,-32.715,-33.691
1714655743.943,-7.812,-21.973,-27.832,-33.203
1714655743.947,-12.207,-26.367,-27.344,-37.109
1714655743.951,-20.020,-32.715,-30.762,-41.016
1714655743.955,-20.996,-32.227,-34.668,-46.387
1714655743.959,-21.484,-30.273,-34.668,-50.293
1714655743.947,-22.461,-40.039,-30.762,-49.805
1714655743.951,-16.113,-33.691,-24.414,-41.504
1714655743.955,-10.742,-23.926,-20.020,-34.180
1714655743.959,-8.789,-24.902,-21.484,-31.250
1714655743.963,-10.254,-25.879,-21.973,-31.738
1714655743.967,-13.672,-25.391,-26.367,-37.598
1714655743.971,-18.066,-24.414,-35.156,-40.527
1714655743.974,-28.320,-36.133,-37.598,-41.992
1714655743.978,-30.762,-41.016,-38.574,-40.527
1714655743.982,-21.973,-28.809,-40.039,-38.086
1714655743.986,-21.484,-26.367,-39.551,-40.039
1714655743.990,-25.391,-29.785,-36.133,-41.992
1714655743.992,-13.672,-23.926,-33.691,-42.480
1714655743.996,-12.207,-17.578,-34.668,-38.086
1714655744.000,-11.719,-20.020,-39.551,-39.062
1714655744.004,-6.836,-22.949,-40.039,-42.969
1714655744.008,-20.020,-20.508,-38.574,-42.969
1714655744.012,-14.648,-21.973,-44.434,-39.062
