timestamps,TP9,AF7,AF8,TP10
1714719776.669,-1000.000,-60.547,-39.551,-1000.000
1714719776.673,-1000.000,-41.992,-28.809,-863.281
1714719776.677,128.906,-23.438,-34.180,439.941
1714719776.681,-769.531,-26.855,-37.109,-798.340
1714719776.685,280.273,-48.828,-33.691,186.035
1714719776.689,-986.816,-56.641,-41.504,-1000.000
1714719776.693,-1000.000,-42.480,-39.551,-972.168
1714719776.696,12.695,-27.344,-25.879,261.230
1714719776.700,-791.016,-26.855,-26.367,-782.227
1714719776.704,456.543,-39.551,-38.086,279.297
1714719776.708,-874.512,-48.340,-36.621,-974.609
1714719776.712,-1000.000,-38.086,-40.039,-1000.000
1714719776.714,-208.984,-20.996,-40.527,-34.668
1714719776.718,-885.254,-19.531,-43.457,-810.547
1714719776.722,688.477,-40.039,-42.969,446.777
1714719776.726,-689.453,-53.223,-30.762,-883.301
1714719776.730,-1000.000,-40.039,-26.855,-1000.000
1714719776.734,-198.730,-16.602,-29.785,-126.465
1714719776.738,-954.590,-20.020,-31.738,-868.652
1714719776.741,913.574,-41.504,-37.109,666.016
1714719776.745,-376.953,-54.688,-46.875,-675.781
1714719776.749,-1000.000,-51.758,-51.270,-1000.000
1714719776.753,-188.477,-21.484,-52.734,-193.848
1714719776.757,-990.234,-7.812,-44.434,-930.176
1714719776.759,-981.445,-33.691,-35.645,839.355
1714719776.763,-149.902,-51.758,-33.691,-462.402
1714719776.767,-1000.000,-51.270,-29.785,-1000.000
1714719776.771,-304.688,-30.762,-25.879,-199.707
1714719776.775,929.688,-19.043,-27.832,992.188
1714719776.779,-905.273,-20.508,-20.508,-963.867
1714719776.783,170.898,-44.434,-30.762,-51.270
1714719776.786,-1000.000,-55.664,-51.758,-1000.000
1714719776.790,-579.590,-30.762,-45.898,-344.727
1714719776.794,802.246,-12.207,-38.086,933.105
1714719776.798,-858.398,-19.043,-38.574,-911.621
1714719776.802,186.523,-52.246,-41.992,75.684
1714719776.804,-1000.000,-62.012,-43.945,-1000.000
1714719776.808,-758.789,-42.969,-33.203,-489.746
1714719776.812,615.234,-23.926,-23.438,843.262
1714719776.816,-818.848,-29.785,-26.367,-874.512
1714719776.820,162.598,-45.410,-34.668,157.227
1714719776.824,-1000.000,-51.270,-31.738,-1000.000
1714719776.828,-964.844,-45.410,-34.668,-717.285
1714719776.831,304.199,-24.902,-33.203,634.766
1714719776.835,-776.367,-23.926,-34.668,-826.172
1714719776.839,197.754,-48.340,-42.480,165.039
1714719776.843,-1000.000,-55.664,-36.133,-1000.000
1714719776.847,-1000.000,-33.691,-32.227,-916.016
1714719776.849,65.430,-12.207,-25.391,357.422
1714719776.853,-775.879,-8.301,-30.273,-787.598
1714719776.857,367.188,-32.715,-30.273,218.262
1714719776.861,-930.664,-46.875,-27.344,-1000.000
1714719776.865,-1000.000,-33.691,-38.086,-1000.000
1714719776.869,-125.977,-23.438,-42.969,92.773
1714719776.873,-831.055,-28.320,-39.062,-784.180
1714719776.876,544.922,-43.945,-38.086,324.219
1714719776.880,-822.266,-54.688,-25.391,-951.172
1714719776.884,-1000.000,-41.504,-25.391,-1000.000
1714719776.888,-210.449,-19.043,-32.227,-109.375
1714719776.892,-924.805,-16.602,-24.902,-835.449
1714719776.894,818.359,-41.992,-30.273,539.062
1714719776.898,-523.926,-59.570,-37.598,-806.152
1714719776.902,-1000.000,-47.363,-35.645,-1000.000
1714719776.906,-181.641,-34.180,-29.785,-178.711
1714719776.910,-984.375,-26.855,-37.109,-914.551
1714719776.914,-994.629,-40.039,-40.039,800.781
1714719776.918,-193.359,-59.570,-33.203,-518.555
1714719776.921,-1000.000,-50.781,-42.969,-1000.000
1714719776.925,-225.098,-28.809,-35.645,-182.129
1714719776.929,976.074,-24.902,-23.926,-972.168
1714719776.933,-934.082,-32.715,-21.973,968.262
1714719776.937,38.574,-49.316,-29.785,-226.562
1714719776.954,-1000.000,-48.340,-30.762,-1000.000
1714719776.958,-453.125,-23.438,-28.809,-268.066
1714719776.962,872.559,-15.625,-34.668,963.379
1714719776.966,-879.395,-26.367,-34.180,-937.500
1714719776.970,186.035,-44.922,-40.527,21.973
1714719776.974,-1000.000,-57.129,-41.504,-1000.000
1714719776.978,-717.285,-42.480,-30.273,-459.473
1714719776.981,663.086,-20.996,-34.180,868.652
1714719776.985,-829.590,-27.344,-36.133,-887.207
1714719776.989,174.316,-56.152,-38.574,104.004
1714719776.993,-1000.000,-60.547,-41.504,-1000.000
1714719776.997,-883.301,-37.109,-31.738,-628.418
1714719777.000,445.312,-23.438,-29.785,723.633
1714719777.004,-792.480,-30.762,-32.227,-844.238
1714719777.008,148.438,-48.340,-28.809,159.180
1714719777.012,-1000.000,-55.176,-23.438,-1000.000
1714719777.016,-1000.000,-46.875,-26.855,-849.121
1714719777.020,140.625,-27.832,-32.715,460.938
1714719777.024,-768.555,-26.855,-28.809,-797.852
1714719777.027,297.852,-59.570,-29.297,190.430
1714719777.031,-962.402,-74.707,-36.133,-1000.000
1714719777.035,-1000.000,-53.711,-36.133,-1000.000
1714719777.039,-91.797,-22.461,-32.715,142.578
1714719777.043,-812.988,-20.996,-32.715,-781.250
1714719777.044,498.535,-46.875,-33.691,299.316
1714719777.048,-857.422,-58.594,-24.902,-967.773
1714719777.052,-1000.000,-43.457,-32.227,-1000.000
1714719777.056,-206.543,-27.344,-39.551,-60.547
1714719777.060,-912.598,-23.438,-30.762,-823.730
1714719777.064,782.715,-30.273,-28.809,512.207
1714719777.068,-570.801,-50.293,-28.809,-830.078
1714719777.071,-1000.000,-52.734,-30.273,-1000.000
1714719777.075,-194.336,-22.461,-26.367,-145.996
1714719777.079,-957.520,-20.020,-33.691,-875.000
1714719777.083,927.246,-39.551,-33.691,674.805
1714719777.087,-351.074,-46.875,-32.227,-669.434
1714719777.089,-1000.000,-40.527,-31.250,-1000.000
1714719777.093,-196.289,-14.648,-26.367,-189.941
1714719777.097,995.117,-12.207,-37.109,-945.312
1714719777.101,-958.496,-28.320,-41.504,885.742
1714719777.105,-74.707,-41.992,-36.621,-381.836
1714719777.109,-1000.000,-45.898,-37.598,-1000.000
1714719777.113,-377.930,-26.855,-33.691,-235.352
1714719777.116,904.785,-15.625,-37.109,985.840
1714719777.120,-893.555,-32.227,-35.645,-965.820
1714719777.124,149.414,-47.363,-37.598,-81.055
1714719777.128,-1000.000,-41.016,-38.086,-1000.000
1714719777.132,-489.746,-22.949,-31.250,-301.758
1714719777.134,869.141,-25.391,-34.180,953.125
1714719777.138,-875.488,-33.203,-32.715,-924.316
1714719777.142,184.082,-48.340,-35.645,65.918
1714719777.146,-1000.000,-57.617,-41.992,-1000.000
1714719777.150,-810.059,-40.039,-41.992,-545.410
1714719777.154,546.387,-16.602,-41.016,795.410
1714719777.158,-806.152,-31.250,-28.320,-860.840
1714719777.161,150.879,-53.223,-28.320,158.691
1714719777.165,-1000.000,-49.805,-47.363,-1000.000
1714719777.169,-1000.000,-37.109,-45.410,-793.945
1714719777.173,168.945,-23.926,-39.062,536.133
1714719777.177,-767.578,-23.926,-33.691,-810.059
1714719777.179,214.355,-43.945,-33.691,160.645
1714719777.183,-1000.000,-53.223,-41.992,-1000.000
1714719777.187,-1000.000,-41.504,-41.992,-986.328
1714719777.191,-53.711,-23.438,-39.062,225.586
1714719777.195,-792.480,-18.555,-31.738,-780.762
1714719777.199,399.414,-37.109,-32.227,228.027
1714719777.203,-921.875,-56.152,-42.480,-1000.000
1714719777.206,-1000.000,-48.340,-34.180,-1000.000
1714719777.210,-164.062,-26.855,-20.508,25.391
1714719777.214,-862.793,-23.438,-31.738,-792.969
1714719777.218,646.973,-46.387,-40.039,387.207
1714719777.222,-725.098,-67.871,-36.133,-916.504
1714719777.240,-1000.000,-56.152,-39.062,-1000.000
1714719777.244,-209.473,-35.645,-40.039,-152.832
1714719777.248,-929.688,-18.555,-42.969,-848.633
1714719777.252,833.008,-35.645,-40.527,560.547
1714719777.256,-503.906,-58.105,-40.039,-792.969
1714719777.260,-1000.000,-50.781,-37.598,-1000.000
1714719777.264,-183.105,-29.785,-26.855,-192.383
1714719777.267,-981.445,-18.555,-18.555,-907.715
1714719777.271,996.094,-30.273,-20.996,764.648
1714719777.275,-204.590,-52.246,-25.879,-565.430
1714719777.279,-1000.000,-53.711,-31.250,-1000.000
1714719777.283,-291.504,-24.902,-30.762,-217.285
1714719777.285,959.961,-12.695,-31.250,-966.797
1714719777.289,-937.500,-33.203,-39.062,927.734
1714719777.293,-41.992,-54.199,-52.734,-316.406
1714719777.297,-1000.000,-55.176,-53.711,-1000.000
1714719777.301,-456.543,-27.832,-44.434,-296.387
1714719777.305,860.840,-10.254,-37.109,945.801
1714719777.309,-875.488,-14.648,-36.621,-930.664
1714719777.312,185.547,-37.109,-35.156,20.020
1714719777.316,-1000.000,-54.688,-33.691,-1000.000
1714719777.320,-738.281,-37.598,-36.133,-482.910
1714719777.324,638.184,-23.438,-39.062,846.680
1714719777.328,-825.195,-28.809,-46.875,-879.883
1714719777.329,173.828,-47.363,-44.922,121.582
1714719777.333,-1000.000,-51.758,-40.039,-1000.000
1714719777.337,-878.418,-36.621,-29.297,-637.207
1714719777.341,447.754,-20.020,-31.738,716.797
1714719777.345,-790.527,-30.762,-36.133,-840.332
1714719777.349,174.805,-49.805,-35.645,166.016
1714719777.353,-1000.000,-54.199,-32.227,-1000.000
1714719777.356,-1000.000,-43.945,-20.996,-900.879
1714719777.360,62.012,-26.855,-25.879,384.766
1714719777.364,-771.973,-25.879,-33.691,-791.016
1714719777.368,285.645,-40.039,-39.551,185.547
1714719777.372,-974.121,-46.387,-38.574,-1000.000
1714719777.374,-1000.000,-30.762,-26.367,-1000.000
1714719777.378,-99.121,-15.625,-22.461,148.926
1714719777.382,-808.105,-19.043,-34.180,-780.762
1714719777.386,464.355,-45.898,-35.645,291.992
1714719777.390,-883.789,-66.406,-30.273,-971.680
1714719777.394,-1000.000,-52.734,-30.762,-1000.000
1714719777.398,-217.285,-35.156,-37.598,-59.570
1714719777.401,-898.438,-33.691,-37.598,-817.871
1714719777.405,729.980,-47.363,-35.156,481.934
1714719777.409,-641.602,-55.664,-33.691,-854.004
1714719777.413,-1000.000,-40.039,-33.691,-1000.000
1714719777.417,-201.172,-15.625,-28.809,-161.133
1714719777.419,-943.359,-8.789,-24.902,-873.535
1714719777.423,878.418,-28.809,-40.039,662.598
1714719777.427,-427.246,-40.039,-39.062,-688.477
1714719777.431,-1000.000,-35.156,-26.367,-1000.000
1714719777.435,-232.910,-26.367,-25.391,-195.801
1714719777.439,979.492,-17.090,-39.062,-951.660
1714719777.443,-953.125,-33.203,-39.551,900.879
1714719777.446,-76.660,-55.664,-41.504,-360.352
1714719777.450,-1000.000,-57.617,-46.387,-1000.000
1714719777.454,-400.391,-33.691,-34.668,-246.094
1714719777.458,896.973,-24.902,-38.574,983.398
1714719777.462,-893.555,-35.156,-31.250,-966.797
1714719777.464,120.117,-53.223,-35.645,-86.426
1714719777.468,-1000.000,-57.129,-47.852,-1000.000
1714719777.472,-583.496,-32.227,-40.039,-363.281
1714719777.476,789.062,-17.090,-43.945,917.969
1714719777.480,-853.516,-22.949,-43.945,-906.250
1714719777.484,185.547,-42.480,-42.480,90.820
1714719777.488,-1000.000,-58.594,-32.227,-1000.000
1714719777.491,-829.590,-39.551,-27.344,-560.547
1714719777.495,521.973,-24.902,-22.949,788.086
1714719777.499,-803.223,-31.738,-25.391,-859.375
1714719777.503,150.879,-46.387,-27.832,151.855
1714719777.507,-1000.000,-51.270,-40.039,-1000.000
1714719777.509,-1000.000,-40.527,-40.039,-806.641
1714719777.513,170.898,-21.484,-31.250,520.996
1714719777.517,-768.066,-19.531,-38.574,-807.617
1714719777.521,208.496,-48.828,-30.273,163.086
1714719777.525,-1000.000,-61.035,-34.668,-1000.000
1714719777.529,-1000.000,-45.898,-36.133,-975.098
1714719777.533,-41.504,-32.227,-29.785,248.047
1714719777.536,-789.062,-36.621,-27.344,-780.762
1714719777.540,388.184,-46.387,-32.227,239.258
1714719777.544,-922.852,-56.641,-38.574,-1000.000
1714719777.548,-1000.000,-47.363,-32.227,-1000.000
1714719777.552,-198.242,-23.438,-25.879,24.414
1714719777.555,-871.582,-17.090,-27.832,-799.805
1714719777.559,658.691,-35.156,-39.062,426.270
1714719777.563,-721.680,-53.711,-37.109,-894.531
1714719777.567,-1000.000,-44.922,-34.668,-1000.000
1714719777.571,-206.055,-26.367,-40.527,-107.910
1714719777.575,-937.500,-15.137,-29.785,-852.539
1714719777.579,857.910,-41.016,-27.832,610.840
1714719777.582,-467.285,-62.012,-31.738,-734.375
1714719777.586,-1000.000,-44.434,-26.367,-1000.000
1714719777.590,-176.758,-26.367,-29.297,-183.105
1714719777.594,-1000.000,-19.531,-37.109,-942.871
1714719777.598,-962.402,-34.668,-42.480,882.812
1714719777.599,-89.355,-49.805,-47.363,-391.113
1714719777.603,-1000.000,-57.129,-46.875,-1000.000
1714719777.607,-320.801,-40.039,-40.527,-209.473
1714719777.611,934.570,-19.531,-40.527,-992.676
1714719777.615,-907.715,-25.879,-40.039,-994.629
1714719777.619,111.816,-43.945,-37.109,-144.043
1714719777.623,-1000.000,-55.176,-39.062,-1000.000
1714719777.626,-458.984,-30.273,-31.250,-282.715
1714719777.630,880.859,-16.602,-27.832,962.402
1714719777.634,-881.348,-23.926,-28.809,-934.082
1714719777.638,184.570,-38.574,-27.344,30.273
1714719777.642,-1000.000,-57.129,-30.762,-1000.000
1714719777.644,-734.863,-34.668,-38.574,-481.445
1714719777.648,641.602,-18.066,-37.598,846.680
1714719777.652,-826.172,-24.902,-32.715,-876.465
1714719777.656,177.246,-42.969,-37.598,145.996
1714719777.660,-1000.000,-52.246,-35.645,-1000.000
1714719777.664,-850.586,-28.320,-26.855,-604.004
1714719777.668,492.676,-15.625,-34.180,753.418
1714719777.671,-799.316,-23.926,-38.086,-850.098
1714719777.675,150.879,-42.969,-33.691,169.922
1714719777.679,-1000.000,-58.594,-32.227,-1000.000
1714719777.683,-1000.000,-41.992,-25.879,-830.566
1714719777.687,168.457,-9.766,-29.297,486.328
1714719777.704,-770.020,-11.719,-25.391,-801.270
1714719777.708,326.172,-35.645,-23.438,207.031
1714719777.712,-947.266,-46.875,-28.320,-1000.000
1714719777.716,-1000.000,-33.691,-26.367,-1000.000
1714719777.720,-91.309,-20.508,-30.762,133.301
1714719777.724,-822.266,-14.648,-33.691,-783.691
1714719777.728,542.480,-37.109,-41.992,332.520
1714719777.731,-817.383,-55.664,-40.527,-944.824
1714719777.735,-1000.000,-38.086,-32.715,-1000.000
1714719777.739,-214.844,-19.531,-35.645,-103.516
1714719777.743,-913.574,-16.113,-28.809,-833.008
1714719777.747,777.832,-29.297,-31.250,530.762
1714719777.749,-580.566,-46.875,-29.297,-814.453
1714719777.753,-1000.000,-43.945,-24.414,-1000.000
1714719777.757,-180.176,-19.531,-27.832,-177.246
1714719777.761,-990.234,-8.789,-32.715,-914.062
1714719777.765,-983.398,-27.832,-32.227,797.363
1714719777.769,-166.992,-50.293,-23.926,-518.555
1714719777.773,-1000.000,-51.270,-36.133,-1000.000
1714719777.776,-221.680,-26.855,-33.203,-192.383
1714719777.780,992.676,-24.414,-20.996,-950.684
1714719777.784,-953.125,-41.016,-34.668,905.762
1714719777.788,-56.641,-47.363,-44.922,-347.168
1714719777.792,-1000.000,-55.664,-39.551,-1000.000
1714719777.794,-415.527,-41.504,-34.668,-279.297
1714719777.798,889.648,-30.762,-30.273,971.680
1714719777.802,-889.160,-37.598,-27.832,-964.844
1714719777.806,137.695,-46.875,-32.227,-97.168
1714719777.810,-1000.000,-60.547,-29.785,-1000.000
1714719777.814,-523.438,-36.621,-29.297,-365.234
1714719777.818,846.191,-20.996,-27.344,916.992
1714719777.821,-867.676,-31.250,-23.438,-906.250
1714719777.825,192.383,-53.223,-37.598,83.496
1714719777.829,-1000.000,-55.664,-43.457,-1000.000
1714719777.833,-794.922,-34.180,-28.320,-601.562
1714719777.837,570.801,-20.508,-24.902,750.000
1714719777.839,-811.523,-22.461,-30.762,-851.562
1714719777.843,158.203,-36.133,-32.715,145.020
1714719777.847,-1000.000,-47.363,-43.457,-1000.000
1714719777.851,-990.723,-40.039,-36.621,-793.457
1714719777.855,262.695,-19.043,-26.855,540.039
1714719777.859,-772.461,-11.230,-32.227,-810.547
1714719777.863,177.246,-38.086,-38.086,157.227
1714719777.866,-1000.000,-52.246,-36.133,-1000.000
1714719777.870,-1000.000,-40.039,-31.250,-962.402
1714719777.874,18.555,-24.902,-20.996,273.926
1714719777.878,-779.785,-18.555,-15.625,-780.762
1714719777.882,379.883,-41.504,-23.926,234.375
1714719777.884,-923.340,-56.152,-33.203,-1000.000
1714719777.888,-1000.000,-46.875,-33.691,-1000.000
1714719777.892,-169.922,-34.668,-31.738,10.742
1714719777.896,-853.516,-24.414,-31.250,-794.434
1714719777.900,609.863,-44.922,-42.480,401.367
1714719777.904,-769.043,-58.594,-39.062,-913.086
1714719777.908,-1000.000,-42.480,-29.297,-1000.000
1714719777.911,-218.262,-30.273,-35.156,-129.395
1714719777.915,-908.691,-22.949,-38.574,-842.285
1714719777.919,756.836,-40.527,-43.457,555.176
1714719777.923,-610.840,-55.664,-39.062,-799.805
1714719777.927,-1000.000,-45.898,-33.203,-1000.000
1714719777.929,-184.082,-21.484,-37.109,-177.246
1714719777.933,-983.398,-15.625,-36.621,-917.969
1714719777.937,999.512,-40.527,-38.574,811.523
1714719777.941,-211.914,-53.711,-40.039,-502.441
1714719777.945,-1000.000,-42.480,-42.969,-1000.000
1714719777.949,-203.125,-18.066,-38.574,-182.617
1714719777.953,983.398,-18.555,-31.250,-978.516
1714719777.956,-931.641,-34.668,-31.738,990.234
1714719777.960,-2.441,-55.176,-31.738,-220.703
1714719777.964,-1000.000,-60.059,-30.273,-1000.000
1714719777.968,-285.645,-20.508,-35.156,-152.344
1714719777.972,905.273,-6.836,-41.504,968.750
1714719777.974,-897.949,-23.926,-39.062,-944.336
1714719777.978,159.668,-44.922,-37.109,1.953
1714719777.982,-1000.000,-51.758,-36.621,-1000.000
1714719777.986,-604.980,-28.320,-33.691,-403.809
1714719777.990,775.879,-20.508,-34.668,897.461
1714719777.994,-852.051,-25.391,-33.691,-891.113
1714719777.998,189.453,-45.410,-38.574,149.414
1714719778.001,-1000.000,-62.012,-43.457,-1000.000
1714719778.005,-779.297,-30.273,-31.738,-568.848
1714719778.009,592.285,-12.207,-31.250,791.504
1714719778.013,-812.012,-24.902,-42.969,-855.957
1714719778.017,150.879,-36.133,-46.875,173.340
1714719778.034,-1000.000,-43.945,-42.969,-1000.000
1714719778.038,-1000.000,-35.156,-41.016,-860.840
1714719778.042,157.227,-17.578,-40.527,449.219
1714719778.046,-768.066,-13.672,-40.039,-796.387
1714719778.050,278.320,-44.434,-42.969,191.406
1714719778.054,-974.609,-57.129,-47.363,-1000.000
1714719778.058,-1000.000,-47.363,-39.062,-1000.000
1714719778.061,-60.547,-35.645,-34.180,149.902
1714719778.065,-800.293,-19.043,-34.180,-780.762
1714719778.069,448.242,-43.945,-41.504,300.293
1714719778.073,-892.578,-66.406,-50.293,-973.145
1714719778.077,-1000.000,-45.898,-31.250,-1000.000
1714719778.079,-187.988,-23.926,-31.250,-22.461
1714719778.083,-876.953,-19.531,-42.480,-809.082
1714719778.087,675.781,-41.992,-42.480,461.426
1714719778.091,-699.707,-56.641,-43.457,-864.746
1714719778.095,-1000.000,-50.781,-37.598,-1000.000
1714719778.099,-195.801,-25.879,-37.598,-169.434
1714719778.103,-962.891,-10.254,-37.109,-891.602
1714719778.106,937.500,-36.133,-35.156,728.516
1714719778.110,-333.496,-61.035,-40.039,-612.793
1714719778.114,-1000.000,-56.641,-44.434,-1000.000
1714719778.118,-193.359,-30.273,-33.691,-184.570
1714719778.122,989.258,-20.508,-26.367,-969.727
1714719778.125,-946.777,-28.809,-31.738,960.449
