timestamps,TP9,AF7,AF8,TP10
1714719738.507,-994.629,-32.715,-41.504,-998.535
1714719738.509,-1000.000,-37.598,-39.062,-1000.000
1714719738.513,-927.734,-38.086,-31.738,-931.152
1714719738.517,-1000.000,-40.039,-30.762,-1000.000
1714719738.521,-574.219,-22.461,-24.902,-500.488
1714719738.525,861.328,-7.324,-20.996,889.648
1714719738.529,-982.422,-20.508,-23.926,-994.629
1714719738.533,913.086,-41.504,-39.062,920.410
1714719738.536,983.398,-50.293,-43.457,983.398
1714719738.540,969.238,-35.645,-31.250,965.332
1714719738.544,905.762,-29.785,-27.344,914.062
1714719738.548,-893.066,-44.434,-32.227,-903.320
1714719738.552,187.988,-62.012,-34.668,117.188
1714719738.569,-1000.000,-55.176,-38.574,-1000.000
1714719738.573,-984.375,-29.297,-40.527,-975.586
1714719738.577,-973.145,-25.879,-31.738,-978.027
1714719738.581,-1000.000,-38.574,-25.879,-1000.000
1714719738.585,-977.051,-45.898,-32.715,-966.797
1714719738.589,-978.027,-47.852,-40.039,-1000.000
1714719738.593,-1000.000,-46.387,-34.668,-974.121
1714719738.596,136.230,-24.414,-29.297,285.156
1714719738.600,-901.367,-15.625,-35.645,-918.457
1714719738.604,911.621,-31.250,-39.551,913.574
1714719738.608,965.332,-40.527,-37.598,969.727
1714719738.612,984.375,-40.527,-39.062,981.445
1714719738.614,897.949,-36.621,-30.273,902.344
1714719738.618,-924.316,-36.621,-24.902,-921.387
1714719738.622,605.469,-44.434,-35.156,531.738
1714719738.626,-835.938,-54.199,-41.992,-863.281
1714719738.630,-1000.000,-44.434,-38.574,-1000.000
1714719738.634,-941.895,-36.621,-32.227,-948.242
1714719738.638,-1000.000,-37.109,-35.156,-1000.000
1714719738.641,-1000.000,-39.551,-40.039,-1000.000
1714719738.645,-930.176,-44.434,-41.504,-932.129
1714719738.649,-1000.000,-55.664,-39.062,-1000.000
1714719738.653,-362.793,-37.598,-35.645,-333.008
1714719738.657,984.863,-14.160,-40.527,995.117
1714719738.658,976.562,-28.809,-46.875,972.656
1714719738.662,929.688,-34.180,-41.504,933.105
1714719738.666,979.492,-30.762,-33.691,981.934
1714719738.670,965.820,-36.133,-30.762,957.031
1714719738.674,910.645,-34.668,-27.832,930.176
1714719738.678,-897.949,-30.762,-29.785,-937.988
1714719738.682,130.859,-55.664,-31.250,-3.418
1714719738.685,-1000.000,-62.500,-28.809,-1000.000
1714719738.689,-976.074,-57.617,-34.668,-965.332
1714719738.693,-977.539,-58.105,-38.086,-985.352
1714719738.697,-1000.000,-45.410,-35.645,-1000.000
1714719738.701,-946.289,-41.504,-29.297,-942.871
