timestamps,TP9,AF7,AF8,TP10
1714719659.908,-1000.000,-53.711,-29.785,-203.125
1714719659.912,-294.922,-40.039,-27.832,-74.219
1714719659.916,-999.023,-26.367,-24.902,95.703
1714719659.920,976.562,-32.227,-31.250,93.750
1714719659.924,-135.254,-40.039,-38.574,-60.059
1714719659.928,-1000.000,-46.387,-38.086,-177.246
1714719659.932,-680.176,-51.270,-39.551,-115.234
1714719659.935,643.066,-31.250,-38.086,42.480
1714719659.939,-933.105,-29.785,-35.645,90.820
1714719659.943,-119.629,-45.410,-41.992,-89.844
1714719659.947,-1000.000,-41.504,-44.922,-209.473
1714719659.951,-559.570,-37.598,-35.645,-118.652
1714719659.968,741.699,-36.133,-31.250,24.902
1714719659.972,-911.133,-29.785,-40.039,70.801
1714719659.976,-1.953,-38.086,-44.922,-73.242
1714719659.980,-1000.000,-38.086,-36.621,-211.426
1714719659.984,-579.590,-23.438,-35.156,-139.160
1714719659.988,745.117,-14.648,-35.156,50.293
1714719659.992,-892.578,-23.438,-32.227,101.074
1714719659.995,16.113,-49.805,-37.109,-59.570
1714719659.999,-1000.000,-61.035,-35.156,-204.590
1714719660.003,-773.438,-44.922,-32.227,-151.367
1714719660.007,455.566,-31.738,-33.691,16.113
1714719660.011,-822.754,-29.297,-32.227,109.375
1714719660.013,160.156,-37.598,-38.086,-14.160
1714719660.017,-1000.000,-51.270,-44.434,-194.824
1714719660.021,-948.242,-47.852,-35.156,-183.594
1714719660.025,174.316,-38.086,-32.715,-15.137
1714719660.029,-844.238,-38.086,-36.133,94.238
1714719660.033,501.953,-44.434,-41.016,9.766
1714719660.037,-782.227,-52.734,-45.410,-159.180
1714719660.040,-1000.000,-46.875,-48.340,-208.496
1714719660.044,-133.301,-32.715,-44.434,-59.082
1714719660.048,-928.711,-30.762,-41.016,76.660
1714719660.052,813.965,-33.203,-39.551,34.668
1714719660.056,-453.125,-44.922,-41.992,-145.020
1714719660.058,-1000.000,-52.734,-45.410,-218.262
1714719660.062,-20.996,-36.621,-36.133,-19.531
1714719660.066,-889.160,-32.715,-33.691,126.465
1714719660.070,714.844,-43.457,-29.785,61.035
1714719660.074,-555.176,-45.410,-28.809,-102.051
1714719660.078,-1000.000,-41.016,-39.062,-162.598
1714719660.082,-88.379,-37.598,-34.668,-22.949
1714719660.085,-902.344,-31.250,-31.738,121.582
1714719660.089,716.797,-45.410,-33.203,83.984
1714719660.093,-522.949,-64.453,-41.504,-96.680
1714719660.097,-1000.000,-61.523,-47.363,-187.988
1714719660.101,-374.023,-41.504,-34.668,-96.680
1714719660.109,965.332,-28.320,-32.227,75.684
1714719660.113,904.785,-37.598,-41.504,80.078
1714719660.117,-345.703,-48.828,-34.668,-122.559
1714719660.121,-1000.000,-45.410,-30.762,-236.816
1714719660.125,-370.605,-32.715,-37.109,-136.230
1714719660.129,898.926,-21.484,-32.715,47.852
1714719660.133,-942.871,-29.297,-27.344,85.449
1714719660.136,-14.648,-48.828,-34.668,-84.473
1714719660.140,-1000.000,-57.617,-39.551,-238.770
1714719660.144,-713.379,-45.898,-38.574,-169.434
1714719660.148,560.547,-36.621,-37.109,28.809
1714719660.152,-842.285,-31.250,-37.109,105.957
1714719660.148,103.516,-44.922,-44.434,-37.598
1714719660.152,-1000.000,-62.988,-42.480,-197.266
1714719660.156,-796.875,-51.758,-36.133,-159.668
1714719660.160,437.012,-31.250,-35.645,28.809
1714719660.164,-824.219,-27.832,-32.227,138.184
1714719660.168,348.145,-37.598,-37.109,35.156
1714719660.172,-924.805,-48.828,-39.062,-146.973
1714719660.175,-1000.000,-58.105,-40.527,-170.898
1714719660.179,-19.531,-42.969,-38.086,3.418
1714719660.183,-822.266,-28.320,-34.668,129.395
1714719660.187,257.812,-49.316,-33.203,13.184
1714719660.191,-1000.000,-48.340,-26.855,-165.527
1714719660.193,-968.262,-34.668,-24.902,-156.250
1714719660.197,149.414,-32.227,-34.180,9.277
1714719660.201,-832.520,-27.344,-38.086,98.145
1714719660.205,410.156,-31.250,-35.645,11.230
1714719660.209,-872.559,-39.062,-46.387,-179.199
1714719660.213,-1000.000,-28.320,-51.270,-233.398
1714719660.217,-145.508,-28.320,-37.109,-52.246
1714719660.220,-907.227,-46.875,-25.391,87.402
1714719660.224,729.492,-43.945,-23.438,25.391
1714719660.228,-604.492,-49.805,-24.414,-161.133
1714719660.232,-1000.000,-48.828,-21.484,-231.934
1714719660.236,48.340,-36.133,-15.137,-51.758
1714719660.239,-863.281,-39.551,-9.277,83.496
1714719660.243,605.469,-41.016,-19.043,18.066
1714719660.247,-663.086,-50.293,-35.645,-148.926
1714719660.251,-1000.000,-47.852,-34.668,-222.168
1714719660.255,-288.574,-38.086,-33.203,-80.566
1714719660.259,-991.699,-33.691,-35.156,98.145
1714719660.263,885.254,-45.898,-36.621,87.891
