timestamps,TP9,AF7,AF8,TP10
1714655665.885,-37.598,-34.668,-30.762,-37.598
1714655665.889,-38.086,-22.949,-35.156,-40.527
1714655665.893,-42.969,-24.414,-36.621,-43.945
1714655665.897,-42.969,-29.297,-41.504,-47.363
1714655665.901,-36.621,-27.832,-41.992,-48.828
1714655665.905,-24.902,-20.996,-39.062,-35.156
1714655665.909,-19.043,-20.996,-41.016,-29.785
1714655665.912,-26.855,-32.227,-36.621,-36.621
1714655665.916,-39.062,-41.504,-32.715,-38.086
1714655665.920,-45.898,-48.828,-29.297,-47.363
1714655665.924,-54.688,-48.828,-30.273,-59.570
1714655665.928,-54.688,-42.480,-35.156,-56.641
1714655665.931,-36.133,-31.738,-34.668,-39.062
1714655665.935,-38.574,-27.832,-27.344,-34.180
1714655665.939,-40.039,-31.738,-31.250,-33.691
1714655665.942,-39.551,-38.086,-38.086,-36.621
1714655665.946,-30.762,-40.039,-35.645,-37.598
1714655665.950,-31.738,-41.504,-31.250,-36.621
1714655665.954,-33.203,-41.504,-30.273,-32.227
1714655665.958,-32.227,-44.922,-33.691,-33.691
1714655665.961,-44.434,-44.434,-32.227,-38.574
1714655665.965,-45.410,-38.086,-38.086,-36.133
1714655665.969,-35.645,-34.668,-42.969,-32.227
1714655665.973,-40.527,-37.109,-40.527,-31.250
1714655665.977,-43.945,-40.039,-43.457,-32.715
1714655665.981,-30.762,-36.621,-41.992,-33.691
1714655665.985,-31.738,-40.527,-43.945,-41.992
1714655665.988,-36.133,-38.086,-45.410,-42.969
1714655665.992,-35.645,-38.086,-37.598,-37.109
1714655665.996,-33.691,-38.086,-31.738,-36.621
1714655666.000,-27.832,-37.109,-31.738,-40.039
1714655666.004,-35.156,-42.969,-29.785,-40.039
1714655666.006,-39.062,-43.457,-26.367,-33.691
1714655666.010,-38.574,-41.504,-26.855,-34.668
1714655666.014,-47.852,-41.992,-33.203,-42.480
1714655666.018,-42.480,-41.504,-34.180,-46.875
1714655666.022,-38.574,-41.016,-34.180,-43.457
1714655666.026,-46.387,-37.109,-33.691,-43.945
1714655666.030,-36.621,-32.715,-27.344,-40.039
1714655666.033,-30.762,-36.133,-31.738,-35.156
1714655666.037,-34.668,-46.875,-37.109,-38.086
1714655666.041,-20.508,-39.062,-29.297,-33.691
1714655666.045,-3.906,-26.855,-23.438,-27.344
1714655666.049,-5.371,-32.715,-29.785,-31.738
1714655666.066,-19.043,-41.504,-30.762,-46.387
1714655666.070,-35.156,-40.039,-32.715,-58.105
1714655666.074,-53.711,-36.621,-39.551,-66.406
1714655666.078,-50.293,-34.668,-34.180,-59.082
1714655666.082,-41.016,-30.273,-29.785,-54.199
1714655666.086,-42.969,-23.438,-29.297,-66.895
1714655666.090,-44.922,-28.809,-30.273,-62.012
1714655666.093,-47.363,-33.203,-31.738,-56.152
1714655666.097,-49.805,-25.879,-33.203,-62.012
1714655666.101,-41.504,-19.043,-31.250,-57.129
1714655666.105,-41.504,-21.484,-31.738,-46.387
1714655666.109,-44.922,-21.484,-33.203,-52.246
1714655666.111,-45.410,-21.484,-34.180,-60.547
1714655666.115,-51.758,-25.879,-38.574,-61.035
1714655666.119,-46.875,-27.832,-38.574,-62.500
1714655666.123,-44.434,-20.508,-34.180,-60.547
1714655666.127,-46.387,-18.555,-33.691,-56.641
1714655666.131,-42.480,-17.578,-31.250,-60.059
1714655666.135,-41.992,-16.602,-32.227,-57.617
1714655666.138,-43.945,-23.926,-33.691,-54.199
1714655666.142,-41.504,-31.250,-34.668,-53.711
1714655666.146,-34.180,-32.715,-35.645,-41.992
1714655666.150,-33.691,-32.227,-36.133,-41.504
1714655666.154,-30.762,-32.227,-40.527,-44.922
1714655666.141,-35.156,-36.133,-43.457,-44.922
1714655666.145,-40.039,-31.250,-39.062,-37.109
1714655666.149,-36.621,-29.785,-34.180,-36.621
1714655666.153,-40.527,-34.668,-35.156,-45.410
1714655666.157,-40.527,-36.621,-33.691,-44.922
1714655666.161,-34.668,-31.738,-34.668,-37.598
1714655666.165,-37.598,-30.762,-45.410,-41.016
1714655666.168,-52.734,-35.156,-49.316,-52.734
1714655666.172,-56.641,-33.691,-42.480,-54.199
1714655666.176,-39.551,-32.227,-38.574,-49.805
1714655666.180,-41.992,-28.320,-41.992,-60.547
1714655666.184,-51.758,-23.926,-38.086,-61.035
1714655666.186,-44.434,-26.855,-33.203,-46.875
1714655666.190,-47.363,-29.785,-37.109,-55.664
1714655666.194,-48.340,-32.227,-36.133,-55.664
1714655666.198,-35.156,-30.273,-30.762,-38.574
1714655666.202,-27.832,-27.344,-30.762,-41.992
1714655666.206,-39.551,-29.297,-32.715,-51.758
1714655666.210,-43.457,-26.367,-35.156,-52.734
1714655666.213,-32.715,-22.461,-35.156,-48.828
1714655666.217,-31.250,-22.461,-34.668,-42.969
1714655666.221,-41.992,-24.414,-33.203,-45.410
1714655666.225,-40.527,-26.855,-33.691,-45.898
1714655666.229,-32.715,-31.738,-32.227,-43.457
1714655666.246,-32.227,-32.715,-33.203,-41.016
1714655666.250,-30.762,-29.785,-32.227,-36.133
1714655666.254,-24.414,-26.855,-20.508,-31.250
1714655666.258,-21.484,-27.832,-17.090,-29.297
1714655666.262,-24.414,-34.180,-24.414,-37.109
1714655666.266,-27.832,-35.645,-27.832,-42.480
1714655666.270,-30.762,-35.645,-29.297,-41.504
1714655666.273,-41.016,-38.574,-26.367,-39.551
1714655666.277,-48.828,-43.457,-26.367,-42.969
1714655666.281,-47.363,-45.898,-29.297,-40.039
1714655666.285,-40.527,-42.480,-31.738,-35.156
1714655666.289,-32.715,-33.203,-31.738,-35.156
1714655666.291,-36.621,-33.691,-34.668,-36.133
1714655666.295,-41.016,-37.598,-36.621,-35.645
1714655666.299,-34.668,-28.320,-30.762,-31.738
1714655666.303,-35.645,-27.832,-28.320,-33.203
1714655666.307,-29.785,-29.297,-27.344,-29.297
1714655666.311,-32.227,-26.367,-29.785,-31.250
1714655666.315,-42.969,-36.133,-29.785,-39.551
1714655666.318,-38.086,-41.016,-28.809,-31.738
1714655666.322,-36.133,-34.668,-29.297,-23.926
1714655666.326,-39.062,-32.715,-27.832,-27.832
1714655666.330,-33.691,-33.691,-31.250,-33.203
1714655666.334,-39.551,-35.156,-36.621,-30.762
1714655666.336,-41.992,-33.203,-35.156,-33.691
1714655666.340,-38.574,-29.785,-37.109,-39.062
1714655666.344,-37.598,-33.203,-38.086,-34.668
1714655666.348,-36.133,-38.086,-38.086,-36.621
1714655666.352,-47.363,-37.109,-36.621,-37.109
1714655666.356,-54.688,-36.133,-34.668,-41.016
1714655666.360,-44.922,-38.574,-38.086,-47.363
1714655666.363,-34.668,-38.086,-36.621,-41.016
1714655666.367,-34.668,-35.156,-34.180,-34.180
1714655666.371,-37.109,-30.762,-33.203,-29.785
1714655666.375,-38.086,-32.227,-31.250,-29.297
1714655666.379,-43.457,-37.109,-33.691,-36.621
1714655666.381,-42.480,-34.180,-30.762,-41.016
1714655666.385,-37.598,-32.227,-26.367,-38.574
1714655666.389,-40.039,-34.180,-30.762,-31.738
1714655666.393,-40.527,-31.738,-31.738,-28.320
1714655666.397,-45.410,-37.598,-34.668,-34.180
1714655666.401,-46.387,-39.062,-33.691,-32.227
1714655666.405,-40.527,-34.668,-32.227,-34.180
1714655666.408,-42.480,-37.598,-33.691,-44.922
1714655666.412,-43.945,-41.016,-28.809,-37.109
1714655666.416,-35.645,-36.621,-25.391,-34.180
1714655666.420,-37.598,-35.156,-26.855,-41.504
1714655666.424,-34.668,-35.645,-27.344,-37.598
1714655666.426,-31.738,-39.551,-30.273,-39.551
1714655666.430,-38.086,-41.504,-31.250,-40.039
1714655666.434,-40.039,-41.504,-33.203,-41.504
1714655666.438,-41.992,-44.434,-34.180,-46.875
1714655666.442,-44.434,-53.711,-34.668,-45.410
1714655666.446,-44.922,-46.387,-31.250,-45.410
1714655666.450,-49.316,-40.039,-29.297,-47.363
1714655666.453,-46.387,-41.016,-33.691,-52.734
1714655666.457,-29.785,-39.551,-34.668,-47.363
1714655666.461,-25.879,-36.621,-35.645,-35.156
1714655666.465,-25.391,-33.691,-34.668,-32.715
1714655666.469,-28.320,-36.133,-41.504,-38.574
1714655666.470,-38.574,-39.062,-42.969,-41.016
1714655666.474,-38.574,-39.062,-42.480,-46.875
1714655666.478,-41.504,-37.109,-50.293,-52.734
1714655666.482,-41.504,-34.668,-47.852,-54.688
1714655666.486,-31.738,-34.668,-38.086,-54.199
1714655666.490,-31.738,-33.203,-39.062,-50.781
1714655666.494,-29.785,-38.574,-42.969,-43.457
1714655666.497,-26.855,-41.992,-40.527,-38.086
1714655666.501,-30.273,-42.969,-42.480,-43.945
1714655666.505,-30.762,-44.922,-37.598,-41.992
1714655666.509,-34.180,-41.504,-34.668,-39.062
1714655666.513,-34.668,-39.062,-36.133,-45.898
1714655666.516,-37.598,-37.598,-34.180,-43.945
1714655666.520,-36.621,-32.227,-32.227,-40.527
1714655666.524,-32.715,-31.738,-32.227,-42.480
1714655666.528,-28.320,-38.086,-30.762,-39.062
1714655666.532,-27.832,-42.480,-27.344,-37.109
1714655666.536,-24.414,-36.133,-28.809,-34.180
1714655666.540,-20.020,-37.598,-33.691,-29.785
1714655666.543,-20.020,-45.898,-34.668,-31.250
1714655666.547,-13.672,-42.480,-31.738,-26.855
1714655666.551,-14.648,-41.016,-31.738,-25.391
1714655666.555,-20.996,-41.992,-30.762,-34.180
